Player_id,Team_name,Player_name,Player_enlish_name,Squad_num,Position,National,Height,Weight,Birthday
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
20020137,부산,이고르,Igor Silva De Freitas,21,MF,브라질,181,76,1979/10/25
