Page_num,Team_name,Player_name,Squad_num
14,울산,윤일록,7
14,서울,윤종규,23
14,대구,윤종태,15
14,경남,윤주태,9
14,안양,윤준성,83
14,부천,윤지혁,41
14,광주,윤평국,1
14,강원,이강한,45
14,인천,이강현,24
14,수원,이강희,16
14,서울E,이건희,77
14,경남,이광선,20
14,강원,이광연,1
14,포항,이광준,3
14,경남,이광진,16
14,포항,이광혁,11
14,서울E,이규로,80
14,성남,이규성,14
14,충남아산,이규혁,38
14,대구,이근호,22
14,전북,이근호,18
14,수원,이기제,23
14,수원FC,이기혁,21
14,충남아산,이기현,13
14,부천,이동건,37
14,울산,이동경,14
14,제주,이동률,37
14,제주,이동수,4
14,울산,이동준,11
15,울산,이동희,5
15,부산,이래준,22
15,울산,이명재,27
15,광주,이민기,3
15,경남,이민기,55
15,강원,이범수,25
15,전북,이범영,1
15,강원,이병욱,32
15,대구,이상기,17
15,안산,이상민,14
15,서울E,이상민,20
15,충남아산,이상민,20
15,충남아산,이상수,5
15,안양,이상용,20
15,부산,이상준,17
15,부산,이상헌,10
15,포항,이석규,27
15,전남,이석현,25
15,안양,이선걸,18
15,안산,이성민,33
15,전북,이성윤,22
15,수원,이성주,31
15,포항,이수빈,57
15,광주,이순민,44
15,성남,이스칸데로프,10
15,전북,이승기,14
15,포항,이승모,16
15,안산,이승빈,1
15,충남아산,이승재,98
15,성남,이시영,2
15,부천,이시헌,25
15,수원FC,이영재,28
15,수원FC,이영준,99
16,안산,이와세,55
16,전북,이용,2
16,대구,이용래,74
16,경남,이우혁,6
16,대전,이웅희,33
16,전북,이유현,16
16,대구,이윤오,31
16,광주,이으뜸,8
16,충남아산,이은범,47
16,경남,이의형,88
16,서울,이인규,20
16,서울E,이인재,4
16,경남,이재명,17
16,성남,이재원,17
16,서울E,이재익,14
16,서울E,이재훈,33
16,제주,이정문,26
16,김천,이정빈,5
16,강원,이정협,18
16,성남,이종성,16
16,인천,이종욱,35
16,대전,이종현,27
16,전남,이종호,8
16,대구,이종훈,37
16,전북,이주용,32
16,부천,이주현,21
16,포항,이준,21
16,대전,이준서,41
16,인천,이준석,29
16,광주,이준용,18
16,안산,이준희,22
17,성남,이중민,27
17,대전,이지솔,4
17,부산,이지승,28
17,포항,이지용,99
17,광주,이지훈,32
17,전북,이지훈,19
17,안산,이진섭,24
17,대구,이진용,26
17,대전,이진현,10
17,광주,이진형,21
17,광주,이찬동,40
17,경남,이찬우,33
17,경남,이찬욱,36
17,제주,이창근,1
17,제주,이창민,8
17,성남,이창용,4
17,울산,이청용,72
17,부산,이청웅,25
